preferredLabel,description,broaderConceptPT
use IT tools,"Application of computers, computer networks and other information technologies and equipment to storing, retrieving, transmitting and manipulating data, in the context of a business or enterprise.",collaborate through digital technologies
use IT tools,"Application of computers, computer networks and other information technologies and equipment to storing, retrieving, transmitting and manipulating data, in the context of a business or enterprise.",use online tools to collaborate
use IT tools,"Application of computers, computer networks and other information technologies and equipment to storing, retrieving, transmitting and manipulating data, in the context of a business or enterprise.",accessing and analysing digital data
manage data collection systems,"Develop and manage methods and strategies used to maximise data quality and statistical efficiency in the collection of data, in order to ensure the gathered data are optimised for further processing.",collect ICT data
manage data collection systems,"Develop and manage methods and strategies used to maximise data quality and statistical efficiency in the collection of data, in order to ensure the gathered data are optimised for further processing.",managing information
manage data collection systems,"Develop and manage methods and strategies used to maximise data quality and statistical efficiency in the collection of data, in order to ensure the gathered data are optimised for further processing.",manage data
collection management software,Be familiar with specialised collection management software used to document and keep record of the museum collection.,collection management
collection management software,Be familiar with specialised collection management software used to document and keep record of the museum collection.,"library, information and archival studies"
create online news content,"Create and upload news content for e.g. websites, blogs and social media.",compile content
create online news content,"Create and upload news content for e.g. websites, blogs and social media.",developing instructive or promotional materials
provide multimedia content,"Develop multimedia materials such as screen shots, graphics, slide shows, animations and videos to be used as content integrated in a broader informational context.",compile content
provide multimedia content,"Develop multimedia materials such as screen shots, graphics, slide shows, animations and videos to be used as content integrated in a broader informational context.",using digital tools for processing sound and images
protect the environment from the impact of the digital technologies,Be aware of the environmental impact of digital technologies and their use.,complying with environmental protection laws and standards
protect the environment from the impact of the digital technologies,Be aware of the environmental impact of digital technologies and their use.,evaluate environmental impact of personal behaviour
protect the environment from the impact of the digital technologies,Be aware of the environmental impact of digital technologies and their use.,ICT safety
handle cybersecurity incidents,"Detect, identify, analyze, and respond, to cybersecurity incidents in an organization's systems or network. It involves incident response plans such as intrusion detection systems, log analysis, and documenting detailed information about potential incidents.",complying with operational procedures
apply ICT system usage policies,Follow written and ethical laws and policies regarding proper ICT system usage and administration.,complying with operational procedures
apply operations for an ITIL-based environment,Properly operate ITIL (Information Technology Infrastructure Library) based service desk procedures.,complying with operational procedures
